model,task,roc_auc,precision,recall,f1
CAT_Hybrid,scam_detection,0.9415341750387505,0.832597623089983,0.8278190411883862,0.8302014558997799
RandomForest,scam_detection,0.9108387501283539,0.8118741058655222,0.7663740715732613,0.7884682181312956
LogisticRegression,scam_detection,0.7005869052768022,0.648363252375924,0.6218771100607697,0.6348440461830088
SVM,scam_detection,0.6596119421827236,0.659729448491155,0.6421336934503714,0.6508126603934987
