model,feature_set,roc_auc,accuracy,f1,precision,recall
LogisticRegression,text,0.7440238494343185,0.66745,0.660438045642518,0.666323271865664,0.6546558704453441
RandomForest,text,0.9283022355219152,0.812,0.8070211455553274,0.8186172428154935,0.795748987854251
XGBoost,text,0.8146855397177193,0.7016,0.6110531803962461,0.8579795021961932,0.4744939271255061
SVM,text,0.681286505256757,0.6816,0.6702909806358083,0.6861352554589781,0.655161943319838
CAT_Model,cognitive_tensor,0.9555343569474004,0.8508,0.8479567920105981,0.8537861686845886,0.8422064777327936
