,0,1,accuracy,macro avg,weighted avg
precision,0.5167316439246263,0.5111862643080125,0.5146,0.5139589541163194,0.5139922263940191
recall,0.6286561264822135,0.3977732793522267,0.5146,0.51321470291722,0.5146
f1-score,0.567225392296719,0.4474043715846995,0.5146,0.5073148819407092,0.5080338080649813
support,10120.0,9880.0,0.5146,20000.0,20000.0
