,0
sentiment_score,0
urgency_score,0
authority_claim,0
fear_trigger_score,0
trust_manipulation_score,0
cognitive_load_score,0
malicious_domain_score,0
response_time,0
message_frequency,0
conversation_length,1053
interaction_entropy,986
financial_target,0
trust_signals,0
cognitive_distortion_score,0
human_verified_label,0
model_prediction,0
confidence_score,0
CMS,0
