,feature,importance
14,human_verified_label,0.754577574561815
15,model_prediction,0.22137474172809773
10,interaction_entropy,0.0024355099554105486
9,conversation_length,0.0023329583118859966
16,confidence_score,0.0018713816598458163
4,trust_manipulation_score,0.001725171591036529
7,response_time,0.001707037644397767
6,malicious_domain_score,0.001663470190107468
0,sentiment_score,0.0015167623610114615
5,cognitive_load_score,0.0014933851767406337
3,fear_trigger_score,0.0014849757275249853
1,urgency_score,0.0014733482915744848
17,CMS,0.001401911863643579
12,trust_signals,0.0013826448799114845
11,financial_target,0.0013650421380525118
13,cognitive_distortion_score,0.0013506567451633538
8,message_frequency,0.0007385323625099043
2,authority_claim,0.00010489481127089996
