,0,1,accuracy,macro avg,weighted avg
precision,0.8421561051004637,0.8546849087893864,0.8482,0.8484205069449251,0.8483453341227916
recall,0.8614624505928854,0.8346153846153846,0.8482,0.848038917604135,0.8482
f1-score,0.8516998827667057,0.8445309299467432,0.8482,0.8481154063567244,0.8481584200736443
support,10120.0,9880.0,0.8482,20000.0,20000.0
